
Allocate 100000 * 16 Bytes (Total 1562.5000 Kbytes)

Range of free(): from memoryBuffer[1] to memoryBuffer[55] (free-stap = 2)

Befor allocateMemory() inital program break = 0x64cfd1017000

function allocateMemory() calling.
Allocate for	Current program break
buffer[181]		0x64cfd1017000
buffer[182]		0x64cfd1017000
buffer[183]		0x64cfd1017000
buffer[184]		0x64cfd1017000
buffer[185]		0x64cfd1017000
buffer[186]		0x64cfd1017000
buffer[187]		0x64cfd1017000
buffer[188]		0x64cfd1017000
buffer[189]		0x64cfd1017000
buffer[190]		0x64cfd1017000
buffer[191]		0x64cfd1017000
buffer[192]		0x64cfd1017000
buffer[193]		0x64cfd1017000
buffer[194]		0x64cfd1017000
buffer[195]		0x64cfd1017000
buffer[196]		0x64cfd1017000
buffer[197]		0x64cfd1017000
buffer[198]		0x64cfd1017000
buffer[199]		0x64cfd1017000
buffer[200]		0x64cfd1017000
buffer[201]		0x64cfd1017000
buffer[202]		0x64cfd1017000
buffer[203]		0x64cfd1017000
buffer[204]		0x64cfd1017000
buffer[205]		0x64cfd1017000
buffer[206]		0x64cfd1017000
buffer[207]		0x64cfd1017000
buffer[208]		0x64cfd1017000
buffer[209]		0x64cfd1017000
buffer[210]		0x64cfd1017000
buffer[211]		0x64cfd1017000
buffer[212]		0x64cfd1017000
buffer[213]		0x64cfd1017000
buffer[214]		0x64cfd1017000
buffer[215]		0x64cfd1017000
buffer[216]		0x64cfd1017000
buffer[217]		0x64cfd1017000
buffer[218]		0x64cfd1017000
buffer[219]		0x64cfd1017000
buffer[220]		0x64cfd1017000
buffer[221]		0x64cfd1017000
buffer[222]		0x64cfd1017000
buffer[223]		0x64cfd1017000
buffer[224]		0x64cfd1017000
buffer[225]		0x64cfd1017000
buffer[226]		0x64cfd1017000
buffer[227]		0x64cfd1017000
buffer[228]		0x64cfd1017000
buffer[229]		0x64cfd1017000
buffer[230]		0x64cfd1017000
buffer[231]		0x64cfd1017000
buffer[232]		0x64cfd1017000
buffer[233]		0x64cfd1017000
buffer[234]		0x64cfd1017000
buffer[235]		0x64cfd1017000
buffer[236]		0x64cfd1017000
buffer[237]		0x64cfd1017000
buffer[238]		0x64cfd1017000
buffer[239]		0x64cfd1017000
buffer[240]		0x64cfd1017000
buffer[241]		0x64cfd1017000
buffer[242]		0x64cfd1017000
buffer[243]		0x64cfd1017000
buffer[244]		0x64cfd1017000
buffer[245]		0x64cfd1017000
buffer[246]		0x64cfd1017000
buffer[247]		0x64cfd1017000
buffer[248]		0x64cfd1017000
buffer[249]		0x64cfd1017000
buffer[250]		0x64cfd1017000
buffer[251]		0x64cfd1017000
buffer[252]		0x64cfd1017000
buffer[253]		0x64cfd1017000
buffer[254]		0x64cfd1017000
buffer[255]		0x64cfd1017000
buffer[256]		0x64cfd1017000
buffer[257]		0x64cfd1017000
buffer[258]		0x64cfd1017000
buffer[259]		0x64cfd1017000
buffer[260]		0x64cfd1017000
buffer[261]		0x64cfd1017000
buffer[262]		0x64cfd1017000
buffer[263]		0x64cfd1017000
buffer[264]		0x64cfd1017000
buffer[265]		0x64cfd1017000
buffer[266]		0x64cfd1017000
buffer[267]		0x64cfd1017000
buffer[268]		0x64cfd1017000
buffer[269]		0x64cfd1017000
buffer[270]		0x64cfd1017000
buffer[271]		0x64cfd1017000
buffer[272]		0x64cfd1017000
buffer[273]		0x64cfd1017000
buffer[274]		0x64cfd1017000
buffer[275]		0x64cfd1017000
buffer[276]		0x64cfd1017000
